,County_FIPS,X,bc,Region,ORIG_FID_1,carbonprice,biomassprice,climate_benefit_cumulative,climate_benefit_per_year,sgarea,Negative_emissions_cumulative,Negative_emissions_per_year,year,biomassproduction,zerocb,costpertonne
110,1043,2860,40 67,Appalachia,2,40,67,2940.490832,206.5541833,120.8195479,1188.146051,83.46107887,2050,30773.32718,2934.872762,0.189137341
111,1043,2886,50 83,Appalachia,2,50,83,2962.771061,208.2239632,121.7962507,1197.148686,84.13577654,2050,31006.49804,2934.872762,1.165197725
112,1045,2912,60 100,Southeast,16,60,100,2292.643444,162.7233642,83.60487308,779.3112695,55.31263566,2050,18996.85781,2251.557851,3.163223301
113,1045,2938,70 116,Southeast,16,70,116,2299.025425,163.0901553,83.793325,781.4806213,55.43731467,2050,19049.73894,2251.557851,4.251839519
114,1045,2964,80 133,Southeast,16,80,133,2303.761673,163.7593308,84.1371375,783.0905581,55.66477959,2050,19088.98352,2251.557851,5.333107013
115,1045,2990,90 150,Southeast,16,90,150,2306.255907,163.8483334,84.18286576,783.9383938,55.69503321,2050,19109.65076,2251.557851,6.279607045
116,1045,3016,100 166,Southeast,16,100,166,2312.554063,164.2078161,84.3675627,786.0792516,55.81722793,2050,19161.83732,2251.557851,7.759549892
117,1045,3042,0 67,Southeast,16,0,67,2251.557851,159.7481894,82.07627202,765.3455281,54.30131957,2050,18656.42233,2251.557851,0
118,1045,3068,40 67,Southeast,16,40,67,2258.566771,160.3241515,82.37219287,767.7279879,54.49709957,2050,18714.49829,2251.557851,0.365177285
119,1045,3094,50 83,Southeast,16,50,83,2283.079116,162.1707765,83.32096168,776.0601805,55.12480106,2050,18917.60773,2251.557851,2.030851883
120,1047,3120,60 100,Southeast,16,60,100,8656.734804,628.7205807,327.5122668,2998.258967,217.7572909,2050,76601.79208,8412.959399,4.878339206
121,1047,3146,70 116,Southeast,16,70,116,8711.356705,633.0698147,329.7778638,3017.177255,219.2636475,2050,77085.13084,8412.959399,6.92296462
122,1047,3172,80 133,Southeast,16,80,133,8762.068409,638.8551218,332.7915381,3034.741247,221.2673879,2050,77533.86902,8412.959399,9.202999023
123,1047,3198,90 150,Southeast,16,90,150,8804.611345,642.3150669,334.593888,3049.475988,222.4657394,2050,77910.32333,8412.959399,11.55892856
124,1047,3224,100 166,Southeast,16,100,166,8859.407678,646.6961174,336.8760588,3068.45469,223.9831157,2050,78395.20561,8412.959399,14.54961286
125,1047,3250,30 50,Southeast,16,30,50,8370.626533,604.825817,315.0650391,2899.165405,209.4813426,2050,74070.07467,8412.959399,0
126,1047,3276,0 67,Southeast,16,0,67,8412.959399,608.7107557,317.0887761,2913.827388,210.8268906,2050,74444.67011,8412.959399,0
